NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
92,4,1698,70087,509,31.22923588
5,3,7,274,6,74.07407407
0,0,0,0,0,100
3,0,4,110,4,79.31034483
2,0,0,7,0,80.95238095
1,1,1,63,1,80.95238095
7,3,21,727,17,77.41935484
9,6,41,1755,15,71.15384615
16,16,867,21954,192,63.46153846
5,1,31,1188,5,97.91666667
2,1,15,1023,7,97.31543624
5,0,2,378,2,100
17,2,44,2323,22,94.19354839
6,0,0,218,0,100
9,1,14,494,7,96.22641509
10,4,26,872,5,88.82681564
5,2,30,1595,14,97.53694581
6,0,5,332,2,100
3,0,0,18,0,100
9,1,62,2578,9,97.6076555
0,0,0,0,0,100
2,0,1,30,0,100
1,0,4,70,0,100
4,0,6,232,0,100
1,0,0,0,0,100
13,2,16,1010,4,95.30516432
9,1,7,375,5,98.17351598
10,1,10,712,6,98.66071429
1,0,3,45,0,100
2,0,4,155,2,100
10,0,39,1407,8,98.2300885
2,0,3,114,0,100
19,7,67,3722,26,92.4
1,0,0,11,0,100
0,0,0,0,0,100
11,0,0,0,0,100
5,0,0,65,1,100
3,0,11,286,4,95.62043796
3,0,0,0,0,100
15,5,47,2256,14,93.79084967
20,1,2,48,0,96.1414791
22,6,70,2789,12,92.30769231
1,0,0,91,0,98.7012987
1,0,0,18,0,100
10,0,71,4079,25,91.51943463
1,0,0,12,0,100
0,0,0,0,0,100
50,3,117,4867,36,96.26865672
4,1,4,134,2,99.27007299
1,0,0,2,0,100
1,0,0,34,0,100
3,0,1,51,0,100
13,5,72,2771,34,93.56913183
2,0,2,58,0,100
33,3,121,5633,34,95.84487535
17,0,867,21961,192,85.01628664
5,0,2,51,6,97.08333333
8,0,2,63,1,93.01310044
4,0,3,186,0,100
3,1,7,277,7,93.80530973
7,1,23,1014,6,98.32635983
13,4,2,364,2,91.56626506
4,0,1,15,0,100
3,0,0,71,0,100
1,0,1,10,0,100
35,6,135,6465,45,86.50793651
0,0,0,0,0,100
7,0,1,82,1,100
1,0,0,0,0,100
18,0,128,2503,37,68.99224806
8,0,9,264,2,100
1,0,0,7,0,100
20,1,6,530,0,98.51851852
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,0,72,0,100
1,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,0,21,0,100
1,0,1,9,0,100
4,1,36,1952,4,94.94584838
1,0,0,0,0,100
17,0,10,463,2,98.93238434
0,0,0,0,0,100
5,0,1,20,0,100
8,0,2,144,1,100
4,0,9,213,1,100
1,0,4,437,0,100
0,0,0,0,0,100
1,1,1,79,1,98.55072464
1,1,0,156,0,98.18181818
1,1,4,172,1,99.28571429
16,0,1,96,0,100
1,0,0,2,0,100
1,0,0,0,0,100
26,2,90,2803,20,95.27027027
28,0,4,344,2,100
32,7,127,5013,49,88.53503185
1,1,0,120,0,97.07602339
7,0,8,254,5,96.50145773
14,0,87,1329,3,98.13084112
1,0,0,0,0,100
71,0,166,6771,10,11.21495327
0,0,0,0,0,100
73,2,3179,114261,478,33.01587302
17,0,1,108,1,100
0,0,0,0,0,100
21,5,19,869,14,89.48948949
74,1,13,233,14,94.47368421
73,0,6,141,0,100
2,0,1,28,1,100
1,1,7,281,5,98.2278481
38,3,81,2956,14,89.58837772
1,0,0,22,0,100
6,2,49,1943,15,98.87640449
11,0,52,1445,1,100
28,6,68,3476,24,93.79844961
2,0,0,0,0,100
1,0,2,43,0,100
18,1,8,83,5,97.46376812
1,0,0,10,0,100
16,0,4,46,0,100
13,2,2,161,1,99.24528302
4,0,1,35,0,100
1,0,0,21,0,100
1,0,1,35,1,100
2,0,16,1225,7,98.02867384
1,0,0,0,0,100
1,0,0,0,0,100
4,0,2,1,0,100
11,1,2,76,2,99.48275862
3,0,0,48,0,100
5,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
88,0,0,0,0,100
0,0,0,0,0,100
1,0,1,18,0,100
0,0,0,0,0,100
3,0,0,0,0,100
0,0,0,0,0,100
1,0,6,281,6,100
1,0,1,10,0,100
0,0,0,0,0,100
4,1,5,301,3,99.14236707
13,1,9,477,9,94.16195857
1,0,0,9,0,100
1,0,2,58,0,100
16,0,6,242,4,97.00854701
1,0,0,0,0,100
0,0,0,0,0,100
5,0,3,59,2,100
0,0,0,0,0,100
1,1,21,1052,8,98.1981982
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
5,0,23,362,0,100
0,0,0,0,0,100
1,0,0,7,0,100
5,0,7,70,0,100
4,3,24,1745,16,98.62385321
0,0,0,0,0,100
1,0,0,0,0,100
2,2,9,1375,7,98.88143177
2,2,14,1375,12,99.12280702
0,0,0,0,0,100
39,2,93,4045,62,95.08196721
1,0,0,0,0,100
23,3,32,1421,22,96.66011788
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,1,15,836,5,99.6031746
60,27,9,1161,92,84.81228669
0,0,0,0,0,100
1,0,0,0,0,100
4,0,0,12,0,100
1,0,0,9,0,100
9,2,78,2824,32,99.10581222
1,0,0,2,0,100
3,2,9,922,7,95.81699346
2,0,0,0,0,100
0,0,0,0,0,100
1,0,0,3,0,100
1,0,0,24,0,100
1,0,0,0,0,100
6,3,37,2526,23,96.58952497
11,1,38,1235,4,91.91489362
9,3,30,1496,13,98.41269841
7,1,15,1194,10,99.21875
6,2,19,760,12,99.22600619
1,0,0,3,0,100
0,0,0,0,0,100
11,2,20,695,18,99.23664122
1,0,0,4,0,100
9,0,1,34,1,100
2,0,1,15,0,100
0,0,0,0,0,100
1,0,0,11,0,100
1,0,3,127,0,100
1,0,0,8,0,100
1,0,1,123,0,100
10,8,55,2825,31,93.42105263
32,1,29,1475,13,99.18699187
1,0,43,1268,23,99.76744186
4,0,0,18,0,100
6,0,0,0,0,100
0,0,0,0,0,100
1,0,0,12,0,100
6,0,7,322,0,100
1,1,4,88,4,97.59615385
0,0,0,0,0,100
0,0,0,0,0,100
3,1,5,452,2,99.75247525
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,4,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,2,44,1,99.87654321
8,0,0,13,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
4,1,5,255,2,99.63054187
3,0,0,20,0,100
4,2,0,107,0,98.40881273
0,0,0,0,0,100
148,12,31,800,15,95.79929988
1,0,0,4,0,100
1,0,1,10,0,100
4,1,6,660,2,99.77678571
1,0,7,204,0,100
1,0,4,32,0,100
1,0,1,19,0,100
1,0,0,2,0,100
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
7,0,2,80,2,100
1,0,0,0,0,100
1,0,0,28,0,100
5,0,1,81,1,100
1,0,0,6,0,100
1,0,1,9,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,4,0,100
1,0,0,12,0,100
23,0,1,404,1,100
0,0,0,0,0,100
35,20,236,13741,110,94.14893617
4,0,0,13,0,100
15,1,10,51,6,99.69512195
0,0,0,0,0,100
1,0,0,1,0,100
13,13,110,6643,70,94.03905447
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,4,0,100
0,0,0,0,0,100
36,20,177,6033,155,92.44917715
0,0,0,0,0,100
5,2,5,243,4,99.09990999
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,2,17,1102,6,99.55197133
1,0,2,32,1,100
13,3,43,1379,37,96.87220733
1,0,0,22,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
18,0,0,10,0,100
2,0,4,230,1,100
7,0,1,46,0,100
5,0,10,466,6,100
2,1,2,415,2,99.82206406
1,0,0,0,0,100
1,0,4,111,0,99.91119005
4,0,6,300,1,100
2,2,33,1013,16,98.76106195
1,0,0,11,0,99.82363316
0,0,0,0,0,100
2,2,1,153,1,99.56101844
1,0,0,0,0,100
1,0,1,64,0,100
5,0,5,181,2,100
0,0,0,0,0,100
97,6,5,1323,9,92.66666667
4,0,16,506,14,98.46153846
6,0,1,86,0,99.01719902
1,0,0,0,0,100
33,13,200,9385,100,92.66435986
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,57,3,99.93983153
5,0,2,633,2,100
3,0,0,16,0,99.93983153
1,0,1,265,1,100
7,1,9,328,3,99.87980769
10,2,27,1086,14,90.90909091
3,0,2,101,1,100
1,0,5,134,1,100
0,0,0,0,0,100
0,0,0,0,0,100
4,1,15,711,11,99.76228209
58,6,81,533,65,97.06325301
3,0,0,9,0,100
37,0,166,25457,121,90.55374593
5,1,9,380,6,99.82142857
4,1,14,838,4,99.82185273
3,0,9,263,2,100
2,0,2,152,1,100
15,1,28,1120,13,96.40644362
0,0,0,0,0,100
1,0,1,11,1,100
1,0,0,20,0,100
1,0,1,41,0,100
2,2,5,295,2,99.67658473
3,0,4,78,1,100
1,0,0,0,0,100
20,6,77,4278,31,94.46974626
21,4,59,3324,32,94.35261708
0,0,0,0,0,100
32,11,17,172,20,92.08053691
3,0,5,138,4,100
43,0,4,6952,17,88.32518337
1,0,0,10,0,100
5,3,13,697,13,99.45978391
2,0,0,2,0,100
0,0,0,0,0,100
1,0,1,12,0,100
4,0,1,78,0,100
16,15,144,6195,85,94.28571429
2,0,2,70,0,99.28848642
3,0,0,44,0,100
1,0,1,14,0,100
1,0,0,29,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
24,2,19,426,16,95.20884521
1,0,9,634,4,99.88385598
4,4,80,3652,39,97.27810651
4,0,80,3608,39,96.33786178
0,0,0,0,0,100
91,4,82,2986,58,92.98874104
1,0,4,211,0,100
3,0,0,79,0,100
4,1,19,771,8,96.40998959
0,0,0,0,0,100
4,0,0,54,0,99.45880938
0,0,0,0,0,100
4,4,80,3670,39,98.55159928
4,0,80,3670,39,98.49124925
18,1,33,1859,20,95.85652443
1,0,0,9,0,100
0,0,0,0,0,100
2,1,13,458,5,95.64660691
1,0,1,67,0,100
0,0,0,0,0,100
11,0,0,90,0,100
12,4,9,1222,12,96.77002584
11,1,11,654,1,88.35164835
1,0,0,6,0,100
1,0,0,10,0,100
5,1,5,433,5,99.49706622
1,0,1,62,0,100
3,0,4,95,1,100
5,0,20,503,10,100
11,0,6,76,6,99.66583124
17,0,91,3396,43,95.30201342
3,0,1,20,1,98.24267782
8,0,2,193,2,100
1,0,7,218,2,100
2,2,6,327,3,99.41908714
21,9,144,6073,50,86.65749656
1,0,0,0,0,100
52,0,267,11519,89,89.22155689
308,0,2846,102602,1327,18.35853132
1,0,0,1,0,100
1,0,0,0,0,100
4,0,6,153,6,99.10958904
5,0,2,10,2,99.72318339
0,0,0,0,0,100
5,0,3,82,3,100
3,0,0,47,0,100
41,8,62,4225,11,91.51472651
1,0,0,0,0,100
20,1,9,126,8,97.51420455
1,0,0,0,0,100
1,0,2,50,0,100
1,0,1,21,0,100
7,0,21,786,7,100
4,0,31,943,14,96.914446
0,0,0,0,0,100
1,0,1,16,0,100
1,0,1,22,1,100
38,19,151,6993,98,88.093689
4,0,18,290,0,100
9,1,10,393,13,99.50829748
1,0,0,7,0,100
22,11,131,4085,122,90.46717172
1,0,0,9,0,100
0,0,0,0,0,100
46,22,176,9246,98,90.33846154
1,0,0,11,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,4,68,1,100
11,1,11,407,7,99.47337624
1,0,1,23,0,100
1,0,0,5,0,100
13,2,11,460,7,96.93995381
28,5,28,1685,28,93.55877617
0,0,0,0,0,100
17,5,35,976,38,98.8401412
1,0,0,2,0,100
1,0,2,47,0,100
26,3,28,319,25,90.46350559
3,0,0,3,0,100
28,1,1,43,1,96.50776053
42,15,338,11317,191,88.35790544
0,0,0,0,0,100
13,7,48,2050,32,92.24652087
2,0,1,0,0,100
38,8,71,2089,59,97.96334012
3,0,13,262,0,99.64592817
5,5,72,3677,39,98.98836621
1,0,0,6,0,100
0,0,0,0,0,100
0,0,0,0,0,100
36,6,78,2419,37,97.61178862
1,0,2,48,0,100
4,0,1,22,0,100
1,0,0,0,0,100
9,0,10,371,14,93.25301205
7,0,6,85,4,100
1,0,1,5,0,100
3,0,5,239,4,99.95462795
1,0,0,6,0,100
9,0,11,288,8,100
6,0,4,86,4,100
13,2,11,344,9,92.45657568
3,0,3,204,1,99.89059081
128,4,106,4028,77,90.8764736
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
50,9,46,2924,30,91.69246646
9,0,2,60,3,100
0,0,0,0,0,100
447,0,4596,178323,2214,18.10132809
1,0,0,13,0,100
1,0,0,0,0,100
24,0,220,11057,107,95.57326251
6,0,2,36,2,96.59239843
4,1,17,250,23,99.78494624
266,0,494,21869,39,72.47956403
1,1,6,398,6,99.56458636
3,0,1,49,0,98.02789803
0,0,0,0,0,100
0,0,0,0,0,100
9,0,0,52,0,100
1,0,1,113,0,100
5,0,4,84,1,100
2,0,15,350,1,99.90503324
1,0,0,0,0,100
4,0,0,0,0,99.81060606
1,0,1,61,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,24,0,100
2,0,0,88,0,100
7,2,8,288,8,99.76381672
14,1,22,562,19,99.90583804
1,1,16,700,7,99.90601504
10,0,10,355,3,100
56,3,15,937,16,98.64104967
1,0,0,4,0,100
1,0,0,4,0,100
9,0,45,1879,17,100
1,0,3,78,1,100
10,1,4,69,2,97.20568026
1,0,0,1,0,100
6,0,4,23,3,97.95918367
30,0,104,3207,6,98.71382637
1,0,1,28,0,100
8,2,17,494,12,99.77032614
0,0,0,0,0,100
1,0,1,10,0,100
20,3,11,945,11,94.07951599
3,1,0,39,0,97.31071576
6,0,18,645,7,100
1,0,0,0,0,100
16,5,20,1145,19,96.10220875
49,1,1265,17848,351,90.53991694
5,0,1,28,1,100
2,0,1,109,0,100
0,0,0,0,0,100
2,0,1,72,0,100
1,0,0,0,0,100
3,0,1,66,0,100
2,0,1,72,0,100
1,0,0,22,0,100
40,14,114,5005,76,97.86740844
44,1,5,141,5,99.50248756
9,1,15,501,7,99.72899729
87,0,134,5359,88,97.26851852
86,16,135,5459,88,97.26851852
0,0,0,0,0,100
7,2,25,742,16,99.77487618
3,2,13,715,10,99.7310623
10,0,38,1457,26,99.50584007
10,4,38,1457,26,99.50584007
1,0,1,56,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
21,17,127,5901,77,97.97713281
3,0,3,177,1,100
18,0,0,7,0,100
1,0,6,322,1,100
15,0,5,424,2,92.72373541
6,6,32,1587,23,98.08940159
1,0,0,0,0,100
1,0,0,12,0,100
0,0,0,0,0,100
1,0,0,78,0,100
205,20,98,6474,74,90.22967554
1,0,0,3,0,100
12,0,7,55,0,100
5,0,2,0,2,100
12,1,16,922,6,99.17146974
1,0,0,0,0,100
0,0,0,0,0,100
1,0,1,21,0,100
1,0,0,0,0,100
2,0,2,24,0,100
5,1,2,124,2,99.85652798
1,0,0,0,0,100
0,0,0,0,0,100
3,2,14,424,8,99.85683608
27,5,19,8,5,98.2869379
18,4,35,1515,16,99.04323175
11,2,0,219,2,98.84856943
28,5,80,3062,50,96.11817245
1,0,3,66,2,100
7,0,4,63,4,100
5,0,2,36,0,99.83004759
1,0,4,185,0,100
1,0,1,12,0,100
11,2,26,939,12,99.72982101
4,1,9,435,5,99.19327731
9,0,21,930,12,99.86608637
1,0,0,2,0,100
5,2,4,298,4,99.83344437
57,9,72,2826,63,88.40372226
23,10,23,1324,28,98.49710983
2,0,4,159,2,100
7,1,3,113,3,99.84726995
18,1,0,305,0,99.6952381
1,0,9,633,1,100
3,3,28,2518,21,98.33976834
0,0,0,0,0,100
14,6,32,1699,17,99.41747573
14,6,201,9271,78,99.27007299
1,0,2,57,0,100
1,0,0,0,0,100
1,0,0,0,0,100
7,0,2,12,0,100
54,0,7,1469,12,99.35015291
2,0,0,10,0,100
1,0,2,29,0,100
6,2,21,912,8,92.15254859
56,0,1,74,4,98.07562458
0,0,0,0,0,100
14,0,4,111,4,97.9966611
5,1,3,213,2,99.89648033
5,1,0,15,0,99.62108164
3,0,2,97,2,99.30651872
6,0,6,225,4,95.95898673
1,0,0,13,0,100
1,0,3,74,0,100
11,1,3,3,3,94.4937833
13,7,49,2374,30,92.79731993
8,0,9,725,4,100
2,0,0,29,0,100
2,0,0,17,0,100
3,0,15,628,7,99.86595174
0,0,0,0,0,100
1,0,1,25,1,98.93653516
2,0,0,117,0,100
31,0,10,1215,9,96.56652361
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,99.90657116
5,1,1,174,1,99.81325864
0,0,0,0,0,100
1,0,0,11,0,100
49,0,0,24,0,97.64816557
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
9,0,9,177,2,99.93670886
2,0,10,435,1,100
16,0,0,62,0,100
0,0,0,0,0,100
24,4,24,2836,23,96.20838471
1,0,0,0,0,100
2,0,0,0,0,100
23,8,91,4113,56,95.82253886
28,19,72,4889,61,95.73070608
0,0,0,0,0,100
5,2,19,702,10,99.84610649
1,0,0,0,0,100
2,0,1,28,1,100
6,2,14,425,15,96.29404617
1,0,0,1,0,100
0,0,0,0,0,100
19,9,29,2317,19,99.01345291
0,0,0,0,0,100
3,1,5,163,5,99.9405116
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,65,0,100
5,0,4,90,2,100
1,0,0,0,0,100
263,6,305,16679,146,87.01550388
0,0,0,0,0,100
0,0,0,0,0,100
11,0,0,0,0,100
4,0,2,133,1,100
2,2,8,508,3,95.34806994
1,0,3,60,2,100
2,0,3,51,2,100
1,0,3,60,2,100
0,0,0,0,0,100
40,1,0,345,0,94.70160116
1,1,26,1054,23,99.94505495
1,0,0,7,0,100
11,1,26,1445,22,98.8630061
44,14,70,4385,76,96.40224123
1,0,0,9,0,100
18,0,5,806,2,100
1,0,2,32,2,100
2,0,6,216,1,100
22,1,79,3270,38,99.00466563
45,4,46,3163,36,91.71471927
1,0,1,12,0,100
2,0,1,72,1,99.82185273
7,0,7,151,1,99.34543291
0,0,0,0,0,100
2,0,4,231,1,99.9702381
0,0,0,0,0,100
0,0,0,0,0,100
17,7,120,7311,62,94.04861693
52,41,94,6500,82,96.01085482
0,0,0,0,0,100
52,9,19,1884,25,90.32906305
11,3,41,1382,28,94.60458241
5,0,0,16,0,100
1,0,0,3,0,100
2,0,1,63,1,96.04815493
7,0,7,305,5,97.11238293
3,0,1,125,0,100
1,0,2,24,2,100
2,0,0,12,0,100
22,0,37,1634,32,94.81500782
3,3,59,2592,28,97.6744186
13,13,87,5349,44,99.19751488
2,1,5,319,4,99.58656331
2,0,0,30,0,93.19969551
113,32,407,16908,290,90.48305696
22,22,134,5118,102,98.92177105
7,7,117,4700,57,99.57216843
0,0,0,0,0,100
1,0,0,4,0,100
1,0,0,1,0,100
1,0,2,20,0,100
1,0,0,1,0,100
25,0,34,739,13,100
3,0,0,0,0,100
16,7,69,4277,36,99.48649252
2,0,0,53,0,100
3,2,15,513,12,92.76090432
0,0,0,0,0,100
1,1,21,980,11,99.85912186
20,7,71,1972,56,95.42174109
44,9,258,5706,182,97.25181082
9,2,22,991,10,99.95819398
0,0,0,0,0,100
1,0,0,2,0,100
5,2,17,878,8,97.48132337
69,6,0,4446,17,96.1214539
0,0,0,0,0,100
1,0,1,10,0,100
1,0,0,6,0,100
6,1,7,475,7,99.9549955
10,0,3,65,5,100
3,0,8,191,1,100
4,0,0,244,0,100
0,0,0,0,0,100
5,0,0,67,0,100
6,2,8,262,4,99.88771615
1,0,0,0,0,100
5,0,11,262,8,100
7,0,2,52,2,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,35,0,100
0,0,0,0,0,100
0,0,0,0,0,100
19,19,177,8344,127,89.33671119
5,5,79,3590,59,99.67027791
5,5,66,2967,52,99.11778732
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,88,0,100
1,0,1,10,0,100
0,0,0,0,0,100
0,0,0,0,0,100
13,2,10,36,15,92.77913974
2,0,2,108,2,100
1,0,0,0,0,100
4,1,8,908,6,95.92592593
5,1,4,188,2,99.88476608
2,1,8,346,3,99.95404412
0,0,0,0,0,100
5,0,0,37,0,99.97703261
13,0,87,5376,44,99.28389928
23,23,288,14494,142,98.59931114
0,0,0,0,0,100
1,0,0,0,0,100
5,2,11,495,8,94.33564961
16,5,79,2920,47,99.70588235
2,0,1,24,1,100
1,0,1,34,0,100
4,0,1,65,0,100
1,0,2,12,0,100
1,0,0,0,0,100
4,0,1,103,1,98.43266653
0,0,0,0,0,100
1,0,0,0,0,100
3,0,4,187,0,99.5215311
0,0,0,0,0,100
0,0,0,0,0,100
3,1,9,793,7,99.91319444
2,0,4,449,4,100
6,1,0,0,0,99.95659722
23,4,9,146,11,96.11780455
1,0,0,2,0,100
1,0,0,0,0,100
4,0,14,334,6,100
1,0,1,10,0,100
5,0,6,152,2,100
1,0,0,16,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,4,172,3,100
4,0,6,284,4,99.12627761
1,0,0,13,0,100
1,0,0,0,0,100
5,0,0,20,0,99.87273306
2,0,0,34,0,100
1,0,1,69,0,100
1,0,3,42,0,100
2,0,1,12,0,100
1,0,1,29,0,100
0,0,0,0,0,100
14,0,21,2048,13,100
0,0,0,0,0,100
13,1,14,513,16,96.64500263
2,0,10,236,2,100
13,1,16,414,9,99.96075353
3,0,4,105,2,100
1,0,1,27,1,100
0,0,0,0,0,100
11,7,32,2740,24,98.38804797
0,0,0,0,0,100
66,18,15,1644,15,96.80187207
51,30,218,10656,125,88.34737264
10,0,0,17,0,100
1,0,0,13,0,100
5,0,6,362,6,99.95824635
2,0,0,8,0,100
0,0,0,0,0,100
5,1,15,506,9,99.95824635
1,0,0,2,0,100
9,0,6,43,3,100
4,0,0,69,0,100
1,0,0,0,0,100
6,1,15,662,13,99.81222616
1,0,0,0,0,100
1,0,0,40,0,100
4,0,17,443,3,100
1,0,6,162,1,100
20,2,6,372,4,99.87497395
41,13,102,3999,59,94.80576168
1,0,2,32,1,100
9,2,16,927,11,99.54275263
20,1,29,1967,25,93.97098821
10,4,50,1792,34,99.55116697
0,0,0,0,0,100
23,5,33,1842,27,88.21541711
1,0,0,5,0,100
1,0,0,16,0,99.93995196
1,0,0,2,0,100
6,0,12,154,10,100
0,0,0,0,0,100
6,1,0,39,0,99.94
0,0,0,0,0,100
1,0,0,40,0,100
22,3,62,2316,24,90.01140251
6,6,68,2776,34,99.44311854
22,4,52,1096,39,99.19396776
2,0,1,36,1,100
24,23,293,11107,225,92.52224092
5,0,0,11,0,100
8,0,0,19,0,100
3,0,7,209,2,100
58,9,56,2134,33,89.46442533
0,0,0,0,0,100
2,0,0,63,0,100
20,0,190,7304,158,100
21,0,5,144,1,91.87080385
9,0,18,523,7,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
5,0,0,53,0,100
3,0,1,75,1,100
1,0,0,15,0,100
1,0,0,7,0,100
0,0,0,0,0,100
1,0,3,122,2,100
2,0,0,0,0,100
28,6,80,2588,63,91.32082623
94,92,1038,40551,502,82.90203327
3,0,2,1,2,100
1,0,1,30,0,100
5,0,6,224,4,100
2,0,7,228,3,99.92676675
6,3,22,870,12,99.83567647
1,0,0,4,0,100
0,0,0,0,0,100
1,0,1,16,0,100
12,2,6,392,4,99.76342129
1,0,0,0,0,100
1,0,1,4,0,100
14,2,51,1386,43,95.51676934
6,0,1,322,1,100
