NMF,NAD,CFC,NCC,NMC,a2a
5,0,5,167,4,99.9229584
13,4,63,4849,42,96.62828947
1,0,0,15,0,100
2,0,0,32,0,100
0,0,0,0,0,100
1,0,0,11,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,2,0,100
5,0,19,416,5,100
0,0,0,0,0,100
2,0,2,103,0,100
11,0,8,302,2,100
11,0,3,272,3,99.60035524
6,3,35,3894,27,96.41089109
1,0,0,0,0,100
5,1,7,212,6,99.9235474
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,10,0,100
65,0,31,2207,19,99.4650363
6,0,12,563,4,100
11,0,1,22,1,96.85658153
1,0,0,2,0,100
25,1,4,301,2,97.10202461
1,0,0,17,0,100
2,0,4,370,1,99.84459984
7,0,1,48,0,100
1,0,1,13,0,100
5,0,7,481,1,99.92272025
1,0,0,5,0,100
1,0,3,42,0,100
0,0,0,0,0,100
3,0,2,388,1,100
1,0,0,0,0,100
1,0,0,26,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,4,65,1,98.53902345
0,0,0,0,0,100
9,1,11,1108,11,99.8467433
0,0,0,0,0,100
2,0,4,190,1,100
3,0,3,271,1,100
0,0,0,0,0,100
9,7,56,3688,33,99.31584949
30,2,42,2916,20,96.19269619
11,0,8,497,2,100
1,0,3,86,1,100
5,0,4,349,4,100
2,0,6,353,2,100
2,0,3,192,1,100
4,0,1,208,1,99.31146213
4,0,3,171,3,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,2,197,1,96.96969697
1,0,3,230,1,100
8,0,7,332,7,100
1,0,0,0,0,100
21,0,5,217,1,100
1,0,3,11,0,100
3,3,15,987,14,99.76744186
0,0,0,0,0,100
3,0,3,130,1,100
0,0,0,0,0,100
1,0,0,0,0,100
3,1,8,624,3,99.92272025
9,0,0,58,1,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,15,0,100
1,0,1,30,0,100
0,0,0,0,0,100
6,0,3,266,1,100
3,0,6,503,2,100
2,0,1,68,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
11,1,12,1544,10,98.10177706
7,1,22,1358,5,99.91539763
9,0,9,779,2,100
1,0,0,0,0,100
4,0,6,126,2,96.90763052
2,0,1,85,1,100
2,0,2,188,1,100
2,0,3,227,1,100
5,1,5,441,3,99.8853211
9,1,13,506,5,99.92366412
73,12,323,11304,133,95.6943367
2,0,5,449,1,100
3,0,3,188,1,100
4,0,0,16,0,100
26,12,348,10036,137,98.11616954
0,0,0,0,0,100
1,1,7,406,4,99.80506823
14,0,153,4601,75,100
4,1,6,237,1,99.84441851
4,0,6,237,1,99.84441851
4,1,6,240,1,99.84441851
1,0,0,8,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,13,1191,5,100
2,0,0,44,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,1,44,0,100
0,0,0,0,0,100
0,0,0,0,0,100
17,0,0,622,0,100
0,0,0,0,0,100
0,0,0,0,0,100
37,7,234,7648,129,93.51701783
0,0,0,0,0,100
27,10,109,5480,49,88.48
0,0,0,0,0,100
0,0,0,0,0,100
2,0,5,240,3,100
1,0,2,194,0,100
2,1,2,214,1,92.80715397
3,0,2,362,2,100
6,0,9,924,3,92.89044289
1,0,0,7,0,100
0,0,0,0,0,100
1,0,1,3,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,260,1,92.8431756
1,0,0,0,0,100
2,0,10,462,1,100
6,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,27,0,100
0,0,0,0,0,100
2,0,3,452,2,100
4,0,3,80,0,97.93336145
0,0,0,0,0,100
1,0,0,0,0,100
10,0,61,2320,15,90.41940789
20,2,1277,30540,659,92.91119076
4,0,19,1194,6,100
7,0,2,189,0,98.29614604
18,0,486,13715,251,98.29614604
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,23,0,100
3,0,8,187,3,100
56,0,0,1027,0,100
0,0,0,0,0,100
2,0,2,49,0,100
5,3,23,1033,15,88.59577922
9,0,13,881,7,99.24242424
2,1,262,5934,119,99.64171975
3,0,8,627,3,100
3,1,8,709,5,94.54995871
0,0,0,0,0,100
2,0,2,50,2,100
9,0,0,15,0,99.74326059
3,0,0,90,0,94.68479604
2,0,2,468,2,100
0,0,0,0,0,100
0,0,0,0,0,100
165,0,0,688,0,100
0,0,0,0,0,100
12,0,1,17,0,100
6,1,52,3113,15,89.37784522
2,0,7,461,1,100
3,0,1,68,1,100
13,0,25,1447,10,99.85475672
15,0,7,21,8,93.54037267
0,0,0,0,0,100
6,2,106,6055,40,99.86460872
0,0,0,0,0,100
0,0,0,0,0,100
40,0,2,254,2,99.97295836
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,13,0,100
3,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,0,0,0,100
2,1,5,329,3,99.94594595
3,0,0,123,0,100
3,1,3,145,1,99.89203779
3,0,0,122,0,99.97303128
0,0,0,0,0,100
2,1,12,317,5,98.64566059
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,0,33,0,100
3,0,13,538,4,100
5,2,9,719,9,99.88681381
3,1,1,124,1,99.94353473
4,0,2,78,2,100
1,0,1,39,0,100
145,0,12,534,2,96.38705624
4,0,6,748,6,98.99549706
2,0,23,2179,11,100
2,1,3,263,2,99.62800135
3,0,65,3581,23,99.8647735
2,0,19,481,10,99.93224932
3,0,12,1013,3,100
24,0,1,54,0,100
3,0,7,810,3,100
1,0,0,16,0,100
24,1,9,907,10,97.25408412
1,0,0,0,0,100
0,0,0,0,0,100
12,5,27,1501,26,95.07562434
3,1,5,317,5,94.29183018
7,1,18,1281,4,93.74362462
4,2,14,952,10,99.81030667
3,1,15,686,5,92.71414506
6,0,7,360,3,90.80297135
1,0,0,0,0,100
4,0,2,77,2,99.889989
1,0,0,27,0,100
7,0,14,926,12,100
2,0,24,1805,5,100
2,0,1,46,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,21,0,100
2,0,3,134,1,100
3,0,1,27,0,100
3,0,2,120,1,100
1,0,0,31,0,100
44,0,1,741,1,97.70803949
8,0,0,103,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,181,1,100
1,0,0,17,0,100
2,0,0,28,0,100
1,0,0,159,0,97.73169151
2,0,2,135,1,100
3,0,17,287,8,99.50586782
2,0,1,43,0,100
0,0,0,0,0,100
107,2,94,6715,78,87.79612347
6,0,8,957,7,100
2,0,2,3,1,100
9,0,19,1047,11,89.71562135
4,1,11,899,7,94.21164773
0,0,0,0,0,100
3,0,0,1,0,100
14,0,144,3700,218,100
0,0,0,0,0,100
2,0,0,43,0,98.30449827
2,0,1,37,1,99.86463621
13,0,102,4950,62,98.93799246
7,0,7,1365,7,100
3,2,18,924,13,99.82716903
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
