NMF,NAD,CFC,NCC,NMC,a2a
148,0,520,2002,200,22.40437158
197,122,3183,126242,1811,39.34262948
108,1,1801,63793,1275,65.39050536
0,0,0,0,0,100
93,0,37,402,26,97.70114943
21,0,6,316,4,96.74922601
0,0,0,0,0,100
30,0,0,8,0,100
113,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,0,16,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,2,109,3762,63,99.60906959
4,4,20,1144,20,99.30394432
0,0,0,0,0,100
9,7,63,3170,59,98.56169569
0,0,0,0,0,100
2,1,7,398,5,99.8509687
4,3,29,938,27,99.26035503
3,0,1,55,0,100
2,1,1,133,1,99.77973568
1,0,1,137,1,100
1,1,2,275,2,99.63369963
3,0,0,27,2,100
0,0,0,0,0,100
0,0,0,0,0,100
6,2,5,618,5,99.41690962
13,7,48,2791,28,98.63505747
13,3,35,2723,17,98.72971066
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
129,0,3021,126978,1773,70.70979335
2,0,7,195,5,100
0,0,0,0,0,100
11,8,110,6080,65,97.78869779
17,5,48,2334,29,96.80365297
0,0,0,0,0,100
1,0,1,123,1,98.83474576
22,4,47,5314,31,97.13983051
0,0,0,0,0,100
0,0,0,0,0,100
45,0,443,4184,271,80.72417465
0,0,0,0,0,100
1,0,3,277,1,97.73462783
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,5,0,100
3,3,24,1095,18,99.22651934
14,0,2,224,3,97.9143798
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
37,9,53,3643,25,97.31471536
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,8,58,3511,30,98.1443299
64,0,541,731,304,75.10288066
3,0,0,11,0,99.58158996
8,1,4,374,2,99.79123173
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,0,184,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,0,51,0,95.55984556
0,0,0,0,0,100
0,0,0,0,0,100
3,0,1,9,0,100
65,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,17,580,15,99.729973
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
169,22,560,5232,234,46.09665428
5,5,60,2389,25,98.86148008
1,0,5,350,4,100
3,0,0,19,0,99.62476548
44,20,405,18457,235,95.7771788
0,0,0,0,0,100
13,10,108,4538,73,97.88494078
0,0,0,0,0,100
8,1,1,373,0,99.25249169
11,2,11,33,12,98.8420182
78,4,127,734,14,76.21753247
3,3,77,3784,23,99.44311854
0,0,0,0,0,100
0,0,0,0,0,100
5,5,28,1353,11,99.05956113
0,0,0,0,0,100
5,0,8,221,1,99.68944099
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
10,0,81,3067,63,95.1320132
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,1,1,15,1,99.82425308
0,0,0,0,0,100
3,0,0,120,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,0,0,100
3,2,42,3231,18,99.56331878
1,0,1,46,1,100
7,7,65,2377,53,98.54327335
2,1,35,2761,25,99.7470489
1,0,0,0,0,100
11,10,99,4172,90,90.25356577
18,0,0,66,0,99.69992498
5,2,10,635,9,99.2486852
95,0,232,13606,60,74.18096724
3,0,0,0,0,100
2,0,0,0,0,100
31,2,87,6098,7,95.599022
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,40,0,99.75429975
2,0,8,198,1,100
12,5,6,1005,9,99.10569106
2,0,2,95,3,100
0,0,0,0,0,100
15,0,83,9509,75,94.30132709
2,1,12,761,10,99.69765684
0,0,0,0,0,100
0,0,0,0,0,100
3,1,41,2496,38,99.6985682
24,10,128,6863,86,96.06081548
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
22,1,37,2425,37,98.1314433
3,2,34,2982,19,99.6763754
0,0,0,0,0,100
0,0,0,0,0,100
3,0,5,509,5,100
15,1,53,3400,14,97.28506787
27,15,108,4146,75,96.875
5,0,0,12,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
14,3,16,423,3,98.86159377
0,0,0,0,0,100
5,0,5,124,2,98.18067754
1,0,0,0,0,100
3,0,1,67,1,99.86702128
7,0,7,779,3,99.73351099
0,0,0,0,0,100
0,0,0,0,0,100
15,1,0,276,0,99.46666667
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
9,5,86,4005,34,99.33774834
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,3,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,24,1154,13,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,1,3,313,3,99.08972692
2,1,3,487,3,99.55128205
0,0,0,0,0,100
2,0,0,59,0,100
0,0,0,0,0,100
4,1,15,664,5,99.87228608
2,1,5,911,4,99.61759082
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,2,27,1366,16,99.68253968
17,4,110,6276,70,98.74529486
1,0,0,0,0,100
0,0,0,0,0,100
1,1,3,637,3,99.8757764
7,0,8,305,1,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
7,1,3,595,3,99.81504316
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,4,0,100
4,1,22,803,11,99.26425506
14,0,100,431,20,96.54747226
0,0,0,0,0,100
1,1,3,426,3,99.62894249
0,0,0,0,0,100
0,0,0,0,0,100
8,0,0,13,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
6,0,0,35,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,1,3,1556,3,99.87669544
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,9,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,1,3,348,3,99.87699877
0,0,0,0,0,100
4,4,34,1964,26,99.45021381
4,1,11,669,4,99.38687922
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,192,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
23,9,62,3662,34,98.06371018
0,0,0,0,0,100
1,1,2,532,2,99.56112853
1,1,3,377,3,99.875467
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,20,0,100
1,1,3,382,3,99.8757764
0,0,0,0,0,100
25,5,52,2388,21,96.76237019
0,0,0,0,0,100
1,1,3,386,3,99.87980769
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
11,0,33,859,20,99.87980769
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
7,1,25,1175,14,99.28272564
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,57,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,1,10,761,9,99.88137604
3,0,0,15,0,99.76303318
2,1,2,728,1,99.8816568
0,0,0,0,0,100
1,0,0,7,0,100
0,0,0,0,0,100
1,0,0,71,0,100
0,0,0,0,0,100
1,1,3,259,3,99.88193625
0,0,0,0,0,100
1,0,0,116,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,4,93,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,0,42,1987,5,98.29009434
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,138,0,100
28,5,133,21042,176,96.13325402
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,89,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
18,0,0,0,0,100
1,0,0,54,0,100
0,0,0,0,0,100
10,10,85,5330,59,98.69668246
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
