,FCA
index,A2A
commit3--commit4,100
commit4--commit5,11.11111111
commit5--commit6,66.66666667
commit6--commit7,50.90909091
commit7--commit8,77.47747748
commit8--commit9,100
commit9--commit10,98.61111111
commit10--commit11,87.07482993
commit11--commit12,96.62162162
commit12--commit13,100
commit13--commit14,100
commit14--commit15,100
commit15--commit16,100
commit16--commit17,97.35099338
commit17--commit18,95.0310559
commit18--commit19,100
commit19--commit20,94.64285714
commit20--commit21,100
commit21--commit22,100
commit22--commit23,94.28571429
commit23--commit24,97.83783784
commit24--commit25,100
commit25--commit26,100
commit26--commit27,98.39572193
commit27--commit28,100
commit28--commit29,98.93617021
commit29--commit30,100
commit30--commit31,100
commit31--commit32,94.55445545
commit32--commit33,99.07407407
commit33--commit34,99.09090909
commit34--commit35,99.10714286
commit35--commit36,86.4
commit36--commit37,100
commit37--commit38,99.27536232
commit38--commit39,98.57142857
commit39--commit40,96.88581315
commit40--commit41,95.34883721
commit41--commit42,96.22641509
commit42--commit43,100
commit43--commit44,100
commit44--commit45,100
commit45--commit46,99.38461538
commit46--commit47,100
commit47--commit48,91.09195402
commit48--commit49,98.41688654
commit49--commit50,98.49246231
commit50--commit51,99.01960784
commit51--commit52,91.03641457
commit52--commit53,100
commit53--commit54,100
commit54--commit55,90.73033708
commit55--commit56,100
commit56--commit57,92.48291572
commit57--commit58,99.15611814
commit58--commit59,100
commit59--commit60,99.12663755
commit60--commit61,94.87804878
commit61--commit62,99.73262032
commit62--commit63,100
commit63--commit64,100
commit64--commit65,100
commit65--commit66,100
commit66--commit67,100
commit67--commit68,100
commit68--commit69,99.46808511
commit69--commit70,100
commit70--commit71,100
commit71--commit72,100
commit72--commit73,100
commit73--commit74,100
commit74--commit75,100
commit75--commit76,98.68766404
commit76--commit77,99.22279793
commit77--commit78,100
commit78--commit79,100
commit79--commit80,100
commit80--commit81,99.74226804
commit81--commit82,100
commit82--commit83,100
commit83--commit84,99.2248062
commit84--commit85,100
commit85--commit86,100
commit86--commit87,100
commit87--commit88,100
commit88--commit89,99.74093264
commit89--commit90,85.38681948
commit90--commit91,100
commit91--commit92,99.67948718
commit92--commit93,98.71794872
commit93--commit94,100
commit94--commit95,98.71794872
commit95--commit96,100
commit96--commit97,100
commit97--commit98,76.74418605
commit98--commit99,98.41269841
commit99--commit100,99.73684211
commit100--commit101,100
commit101--commit102,100
commit102--commit103,100
commit103--commit104,100
commit104--commit105,100
commit105--commit106,100
commit106--commit107,100
commit107--commit108,100
commit108--commit109,93.42105263
commit109--commit110,98.95561358
commit110--commit111,100
commit111--commit112,100
commit112--commit113,100
commit113--commit114,100
commit114--commit115,100
commit115--commit116,100
commit116--commit117,100
commit117--commit118,100
commit118--commit119,100
commit119--commit120,100
commit120--commit121,100
commit121--commit122,15.4589372
commit122--commit123,100
commit123--commit124,100
commit124--commit125,100
commit125--commit126,100
commit126--commit127,100
commit127--commit128,100
commit128--commit129,98.85057471
commit129--commit130,100
commit130--commit131,100
commit131--commit132,100
commit132--commit133,100
commit133--commit134,100
commit134--commit135,100
commit135--commit136,100
commit136--commit137,100
commit137--commit138,98.34123223
commit138--commit139,100
commit139--commit140,100
commit140--commit141,100
commit141--commit142,100
commit142--commit143,97.10144928
commit143--commit144,100
commit144--commit145,100
commit145--commit146,97.39952719
commit146--commit147,72.64957265
commit147--commit148,100
commit148--commit149,98.79518072
commit149--commit150,100
commit150--commit151,100
commit151--commit152,96.7462039
commit152--commit153,100
commit153--commit154,78.58719647
commit154--commit155,100
commit155--commit156,100
commit156--commit157,100
commit157--commit158,80.90349076
commit158--commit159,96.40718563
commit159--commit160,99.20318725
commit160--commit161,97.45098039
commit161--commit162,97.70114943
commit162--commit163,96.09665428
commit163--commit164,86.89883914
commit164--commit165,97.01492537
commit165--commit166,98.27338129
commit166--commit167,75.18796992
commit167--commit168,99.68253968
commit168--commit169,100
commit169--commit170,100
commit170--commit171,100
commit171--commit172,100
commit172--commit173,100
commit173--commit174,100
commit174--commit175,100
commit175--commit176,100
commit176--commit177,100
commit177--commit178,100
commit178--commit179,100
commit179--commit180,100
commit180--commit181,90.45307443
commit181--commit182,100
commit182--commit183,98.67549669
commit183--commit184,100
commit184--commit185,100
commit185--commit186,100
commit186--commit187,100
commit187--commit188,100
commit188--commit189,99.669967
commit189--commit190,100
commit190--commit191,100
commit191--commit192,100
commit192--commit193,100
commit193--commit194,99.67213115
commit194--commit195,100
commit195--commit196,98.53181077
commit196--commit197,100
commit197--commit198,100
commit198--commit199,100
commit199--commit200,100
commit200--commit201,100
commit201--commit202,100
commit202--commit203,95.6937799
commit203--commit204,100
commit204--commit205,100
commit205--commit206,100
commit206--commit207,96.10778443
commit207--commit208,100
commit208--commit209,100
commit209--commit210,99.71346705
commit210--commit211,74.12177986
commit211--commit212,92.5682032
commit212--commit213,100
commit213--commit214,94.5389436
commit214--commit215,100
commit215--commit216,100
commit216--commit217,100
commit217--commit218,100
commit218--commit219,100
commit219--commit220,100
commit220--commit221,100
commit221--commit222,100
commit222--commit223,99.82142857
commit223--commit224,100
commit224--commit225,100
commit225--commit226,100
commit226--commit227,99.82238011
commit227--commit228,100
commit228--commit229,100
commit229--commit230,100
commit230--commit231,96.19205298
commit231--commit232,100
commit232--commit233,100
commit233--commit234,94.13202934
commit234--commit235,100
commit235--commit236,100
commit236--commit237,100
commit237--commit238,100
commit238--commit239,99.15895711
commit239--commit240,100
commit240--commit241,100
commit241--commit242,99.75186104
commit242--commit243,100
commit243--commit244,100
commit244--commit245,100
commit245--commit246,100
commit246--commit247,100
commit247--commit248,100
commit248--commit249,100
commit249--commit250,100
commit250--commit251,99.83471074
commit251--commit252,93.74079529
commit252--commit253,100
commit253--commit254,100
commit254--commit255,100
commit255--commit256,100
commit256--commit257,100
commit257--commit258,100
commit258--commit259,100
commit259--commit260,100
commit260--commit261,93.41111874
commit261--commit262,100
commit262--commit263,95.87255612
commit263--commit264,100
commit264--commit265,100
commit265--commit266,92.66666667
commit266--commit267,97.17291256
commit267--commit268,100
commit268--commit269,100
commit269--commit270,90.20501139
commit270--commit271,100
commit271--commit272,100
commit272--commit273,100
commit273--commit274,100
commit274--commit275,100
commit275--commit276,99.83948636
commit276--commit277,100
commit277--commit278,100
commit278--commit279,96.66666667
commit279--commit280,100
commit280--commit281,100
commit281--commit282,100
commit282--commit283,97.74193548
commit283--commit284,100
commit284--commit285,100
commit285--commit286,100
commit286--commit287,100
commit287--commit288,96.17151608
commit288--commit289,100
commit289--commit290,100
commit290--commit291,100
commit291--commit292,99.78693182
commit292--commit293,100
commit293--commit294,100
commit294--commit295,99.57507082
commit295--commit296,100
commit296--commit297,100
commit297--commit298,100
commit298--commit299,100
commit299--commit300,100
commit300--commit301,100
commit301--commit302,100
commit302--commit303,100
commit303--commit304,100
commit304--commit305,100
commit305--commit306,98.76203576
commit306--commit307,100
commit307--commit308,100
commit308--commit309,100
commit309--commit310,100
commit310--commit311,100
commit311--commit312,96.46278556
commit312--commit313,99.59481361
commit313--commit314,99.19807538
commit314--commit315,93.55281207
commit315--commit316,100
commit316--commit317,87.71306818
commit317--commit318,99.56559513
commit318--commit319,99.74025974
commit319--commit320,99.91334489
commit320--commit321,100
commit321--commit322,100
commit322--commit323,100
commit323--commit324,100
commit324--commit325,100
commit325--commit326,100
commit326--commit327,100
commit327--commit328,100
commit328--commit329,100
commit329--commit330,100
commit330--commit331,100
commit331--commit332,100
commit332--commit333,100
commit333--commit334,100
commit334--commit335,100
commit335--commit336,100
commit336--commit337,100
commit337--commit338,100
commit338--commit339,100
commit339--commit340,100
commit340--commit341,100
commit341--commit342,100
commit342--commit343,99.82698962
commit343--commit344,100
commit344--commit345,96.33333333
