,FCA
index,A2A
commit15--commit16,83.33333333
commit16--commit17,100
commit17--commit18,76.47058824
commit18--commit19,86.36363636
commit19--commit20,92.30769231
commit20--commit21,93.33333333
commit21--commit22,100
commit22--commit23,88.57142857
commit23--commit24,95
commit24--commit25,100
commit25--commit26,91.11111111
commit26--commit27,96
commit27--commit28,92.72727273
commit28--commit29,65.51724138
commit29--commit30,96.66666667
commit30--commit31,98.38709677
commit31--commit32,100
commit32--commit33,96.875
commit33--commit34,100
commit34--commit35,95.3125
commit35--commit36,96.875
commit36--commit37,97.05882353
commit37--commit38,97.22222222
commit38--commit39,94.80519481
commit39--commit40,97.56097561
commit40--commit41,97.6744186
commit41--commit42,100
commit42--commit43,97.77777778
commit43--commit44,100
commit44--commit45,100
commit45--commit46,95.78947368
commit46--commit47,98
commit47--commit48,97.11538462
commit48--commit49,100
commit49--commit50,100
commit50--commit51,94.39252336
commit51--commit52,94.49541284
commit52--commit53,91.22807018
commit53--commit54,90.6779661
commit54--commit55,100
commit55--commit56,100
commit56--commit57,100
commit57--commit58,91.80327869
commit58--commit59,93.98496241
commit59--commit60,94.36619718
commit60--commit61,97.24137931
commit61--commit62,88.54961832
commit62--commit63,100
commit63--commit64,100
commit64--commit65,100
commit65--commit66,100
commit66--commit67,100
commit67--commit68,92.42424242
commit68--commit69,100
commit69--commit70,100
commit70--commit71,100
commit71--commit72,96.42857143
commit72--commit73,100
commit73--commit74,100
commit74--commit75,100
commit75--commit76,93.00699301
commit76--commit77,94.93670886
commit77--commit78,96.96969697
commit78--commit79,100
commit79--commit80,100
commit80--commit81,100
commit81--commit82,100
commit82--commit83,100
commit83--commit84,100
commit84--commit85,100
commit85--commit86,98.8372093
commit86--commit87,100
commit87--commit88,86.39455782
commit88--commit89,100
commit89--commit90,100
commit90--commit91,100
commit91--commit92,100
commit92--commit93,100
commit93--commit94,100
commit94--commit95,100
commit95--commit96,100
commit96--commit97,98.33333333
commit97--commit98,96.8
commit98--commit99,83.97435897
commit99--commit100,98.92473118
commit100--commit101,97.38219895
commit101--commit102,100
commit102--commit103,97.93814433
commit103--commit104,100
commit104--commit105,97.96954315
commit105--commit106,100
commit106--commit107,100
commit107--commit108,100
commit108--commit109,21.15384615
commit109--commit110,100
commit110--commit111,100
commit111--commit112,100
commit112--commit113,83.07692308
commit113--commit114,75
commit114--commit115,100
commit115--commit116,100
commit116--commit117,100
commit117--commit118,100
commit118--commit119,100
commit119--commit120,100
commit120--commit121,100
commit121--commit122,100
commit122--commit123,100
commit123--commit124,99.34640523
commit124--commit125,100
commit125--commit126,100
commit126--commit127,100
commit127--commit128,100
commit128--commit129,100
commit129--commit130,100
commit130--commit131,100
commit131--commit132,99.35483871
commit132--commit133,98.10725552
commit133--commit134,98.76923077
commit134--commit135,99.09090909
commit135--commit136,99.39393939
commit136--commit137,100
commit137--commit138,100
commit138--commit139,100
commit139--commit140,99.09090909
commit140--commit141,100
commit141--commit142,100
commit142--commit143,100
commit143--commit144,92.77108434
commit144--commit145,98.20895522
commit145--commit146,100
commit146--commit147,99.11764706
commit147--commit148,97.66081871
commit148--commit149,100
commit149--commit150,97.42857143
commit150--commit151,100
commit151--commit152,100
commit152--commit153,99.16666667
commit153--commit154,100
commit154--commit155,98.09264305
commit155--commit156,100
commit156--commit157,98.65951743
commit157--commit158,100
commit158--commit159,98.92761394
commit159--commit160,100
commit160--commit161,100
commit161--commit162,100
commit162--commit163,100
commit163--commit164,100
commit164--commit165,100
commit165--commit166,98.64498645
commit166--commit167,98.63760218
commit167--commit168,97.01086957
commit168--commit169,97.56756757
commit169--commit170,100
commit170--commit171,100
commit171--commit172,99.46236559
commit172--commit173,100
commit173--commit174,100
commit174--commit175,100
commit175--commit176,100
commit176--commit177,100
commit177--commit178,100
commit178--commit179,100
commit179--commit180,100
commit180--commit181,100
commit181--commit182,64.55696203
commit182--commit183,100
commit183--commit184,100
commit184--commit185,100
commit185--commit186,97.32824427
commit186--commit187,100
commit187--commit188,100
commit188--commit189,100
commit189--commit190,100
commit190--commit191,100
commit191--commit192,100
commit192--commit193,100
commit193--commit194,100
commit194--commit195,98.12734082
commit195--commit196,100
commit196--commit197,100
commit197--commit198,100
commit198--commit199,100
commit199--commit200,100
commit200--commit201,98.89705882
commit201--commit202,99.27536232
commit202--commit203,95.33333333
commit203--commit204,100
commit204--commit205,100
commit205--commit206,100
commit206--commit207,100
commit207--commit208,100
commit208--commit209,100
commit209--commit210,100
commit210--commit211,100
commit211--commit212,100
commit212--commit213,97.71986971
commit213--commit214,100
commit214--commit215,98.63013699
commit215--commit216,98
commit216--commit217,100
commit217--commit218,95.25423729
commit218--commit219,95.37366548
commit219--commit220,100
commit220--commit221,100
commit221--commit222,100
commit222--commit223,100
commit223--commit224,97.81818182
commit224--commit225,100
commit225--commit226,99.26470588
commit226--commit227,98.54545455
commit227--commit228,98.90510949
commit228--commit229,100
commit229--commit230,91.51291513
commit230--commit231,100
commit231--commit232,100
commit232--commit233,100
commit233--commit234,100
commit234--commit235,100
commit235--commit236,100
commit236--commit237,100
commit237--commit238,100
commit238--commit239,100
commit239--commit240,100
commit240--commit241,100
commit241--commit242,100
commit242--commit243,80.11363636
commit243--commit244,94.9339207
commit244--commit245,85.3974122
commit245--commit246,97.90996785
commit246--commit247,97.68518519
commit247--commit248,98.61751152
commit248--commit249,100
commit249--commit250,88.27586207
commit250--commit251,97.04797048
commit251--commit252,90.59633028
commit252--commit253,95.95435685
commit253--commit254,98.81656805
commit254--commit255,100
commit255--commit256,100
commit256--commit257,100
commit257--commit258,100
commit258--commit259,100
commit259--commit260,100
commit260--commit261,100
commit261--commit262,100
commit262--commit263,100
commit263--commit264,100
commit264--commit265,91.99199199
commit265--commit266,100
commit266--commit267,98.65979381
commit267--commit268,99.27159209
commit268--commit269,100
commit269--commit270,100
commit270--commit271,98.2492276
commit271--commit272,100
commit272--commit273,100
commit273--commit274,100
commit274--commit275,100
commit275--commit276,100
commit276--commit277,100
commit277--commit278,100
commit278--commit279,100
commit279--commit280,100
commit280--commit281,99.69604863
commit281--commit282,100
commit282--commit283,100
commit283--commit284,100
commit284--commit285,100
commit285--commit286,100
commit286--commit287,100
commit287--commit288,100
commit288--commit289,100
commit289--commit290,100
commit290--commit291,100
commit291--commit292,100
commit292--commit293,100
commit293--commit294,100
commit294--commit295,100
commit295--commit296,100
commit296--commit297,100
commit297--commit298,100
commit298--commit299,100
commit299--commit300,100
commit300--commit301,100
commit301--commit302,100
commit302--commit303,100
commit303--commit304,100
commit304--commit305,100
commit305--commit306,100
commit306--commit307,100
commit307--commit308,100
commit308--commit309,100
commit309--commit310,100
commit310--commit311,100
commit311--commit312,100
commit312--commit313,100
commit313--commit314,100
commit314--commit315,100
commit315--commit316,100
commit316--commit317,100
commit317--commit318,100
commit318--commit319,100
commit319--commit320,100
commit320--commit321,100
commit321--commit322,100
commit322--commit323,100
commit323--commit324,100
commit324--commit325,100
commit325--commit326,100
commit326--commit327,100
commit327--commit328,100
commit328--commit329,100
commit329--commit330,100
commit330--commit331,100
commit331--commit332,100
commit332--commit333,100
commit333--commit334,100
commit334--commit335,100
commit335--commit336,100
commit336--commit337,100
commit337--commit338,100
commit338--commit339,100
commit339--commit340,100
commit340--commit341,100
commit341--commit342,100
commit342--commit343,100
commit343--commit344,100
commit344--commit345,94.49901768
commit345--commit346,100
commit346--commit347,100
commit347--commit348,100
commit348--commit349,100
commit349--commit350,100
commit350--commit351,99.0530303
commit351--commit352,99.13461538
commit352--commit353,100
commit353--commit354,100
commit354--commit355,100
commit355--commit356,100
commit356--commit357,97.19535783
commit357--commit358,99.03846154
commit358--commit359,100
commit359--commit360,100
commit360--commit361,100
commit361--commit362,100
commit362--commit363,99.70873786
commit363--commit364,100
commit364--commit365,100
commit365--commit366,100
commit366--commit367,100
commit367--commit368,100
commit368--commit369,100
commit369--commit370,100
commit370--commit371,100
commit371--commit372,100
commit372--commit373,99.80544747
commit373--commit374,100
commit374--commit375,98.32181639
commit375--commit376,86.6894198
commit376--commit377,100
commit377--commit378,100
commit378--commit379,100
commit379--commit380,100
commit380--commit381,100
commit381--commit382,100
commit382--commit383,100
commit383--commit384,100
commit384--commit385,100
commit385--commit386,100
commit386--commit387,100
commit387--commit388,100
commit388--commit389,100
commit389--commit390,100
commit390--commit391,100
commit391--commit392,100
commit392--commit393,100
commit393--commit394,100
commit394--commit395,100
commit395--commit396,100
commit396--commit397,100
commit397--commit398,100
commit398--commit399,100
commit399--commit400,100
commit400--commit401,100
commit401--commit402,100
commit402--commit403,100
commit403--commit404,100
commit404--commit405,100
commit405--commit406,100
commit406--commit407,100
commit407--commit408,100
commit408--commit409,100
commit409--commit410,100
commit410--commit411,100
commit411--commit412,100
commit412--commit413,100
commit413--commit414,100
commit414--commit415,100
commit415--commit416,100
commit416--commit417,25.29644269
commit417--commit418,100
commit418--commit419,100
commit419--commit420,100
commit420--commit421,100
commit421--commit422,100
commit422--commit423,100
commit423--commit424,100
commit424--commit425,100
commit425--commit426,100
commit426--commit427,100
commit427--commit428,100
commit428--commit429,100
commit429--commit430,100
commit430--commit431,100
commit431--commit432,100
commit432--commit433,100
commit433--commit434,100
commit434--commit435,100
commit435--commit436,100
commit436--commit437,100
commit437--commit438,100
commit438--commit439,100
commit439--commit440,100
commit440--commit441,100
commit441--commit442,100
commit442--commit443,100
commit443--commit444,100
commit444--commit445,100
commit445--commit446,100
commit446--commit447,100
commit447--commit448,100
commit448--commit449,100
commit449--commit450,100
commit450--commit451,100
commit451--commit452,100
commit452--commit453,100
commit453--commit454,100
commit454--commit455,100
commit455--commit456,100
commit456--commit457,100
commit457--commit458,100
commit458--commit459,100
commit459--commit460,100
commit460--commit461,100
commit461--commit462,100
commit462--commit463,90.87248322
commit463--commit464,90.45643154
commit464--commit465,100
commit465--commit466,100
commit466--commit467,100
commit467--commit468,100
commit468--commit469,100
commit469--commit470,100
commit470--commit471,100
commit471--commit472,100
commit472--commit473,100
commit473--commit474,100
commit474--commit475,100
commit475--commit476,100
commit476--commit477,100
commit477--commit478,100
commit478--commit479,100
commit479--commit480,100
commit480--commit481,100
commit481--commit482,100
commit482--commit483,100
commit483--commit484,100
commit484--commit485,100
commit485--commit486,100
commit486--commit487,100
commit487--commit488,100
commit488--commit489,100
commit489--commit490,100
commit490--commit491,100
commit491--commit492,100
commit492--commit493,100
commit493--commit494,100
commit494--commit495,100
commit495--commit496,25.28735632
commit496--commit497,100
commit497--commit498,100
commit498--commit499,99.53161593
commit499--commit500,100
commit500--commit501,100
commit501--commit502,100
commit502--commit503,100
commit503--commit504,100
commit504--commit505,100
commit505--commit506,100
commit506--commit507,100
commit507--commit508,100
commit508--commit509,100
commit509--commit510,100
commit510--commit511,100
commit511--commit512,100
commit512--commit513,100
commit513--commit514,100
commit514--commit515,100
commit515--commit516,100
commit516--commit517,100
commit517--commit518,100
commit518--commit519,100
commit519--commit520,100
commit520--commit521,100
commit521--commit522,100
commit522--commit523,100
commit523--commit524,100
commit524--commit525,100
commit525--commit526,100
commit526--commit527,100
commit527--commit528,100
commit528--commit529,100
commit529--commit530,100
commit530--commit531,100
commit531--commit532,100
commit532--commit533,100
commit533--commit534,100
commit534--commit535,100
commit535--commit536,100
commit536--commit537,100
commit537--commit538,100
commit538--commit539,99.76744186
commit539--commit540,99.53757225
commit540--commit541,100
commit541--commit542,100
commit542--commit543,100
commit543--commit544,100
commit544--commit545,100
